date,trailName,bike,pedestrian,id
9/24/2020 10:00,Burke-Gilman Trail,22,22,2
9/24/2020 11:00,Burke-Gilman Trail,21,21,2
9/24/2020 12:00,Burke-Gilman Trail,36,36,2
9/24/2020 13:00,Burke-Gilman Trail,41,41,2
9/24/2020 14:00,Burke-Gilman Trail,66,66,2
9/24/2020 15:00,Burke-Gilman Trail,108,108,2
9/24/2020 16:00,Burke-Gilman Trail,127,127,2
9/24/2020 17:00,Burke-Gilman Trail,132,132,2
9/24/2020 18:00,Burke-Gilman Trail,99,99,2
9/24/2020 19:00,Burke-Gilman Trail,59,59,2
9/24/2020 20:00,Burke-Gilman Trail,8,8,2
9/24/2020 21:00,Burke-Gilman Trail,7,7,2
9/24/2020 22:00,Burke-Gilman Trail,2,2,2
9/24/2020 23:00,Burke-Gilman Trail,0,0,2
9/25/2020 0:00,Burke-Gilman Trail,0,0,2
9/25/2020 1:00,Burke-Gilman Trail,0,0,2
9/25/2020 2:00,Burke-Gilman Trail,0,0,2
9/25/2020 3:00,Burke-Gilman Trail,0,0,2
9/25/2020 4:00,Burke-Gilman Trail,0,0,2
9/25/2020 5:00,Burke-Gilman Trail,6,6,2
9/25/2020 6:00,Burke-Gilman Trail,12,12,2
9/25/2020 7:00,Burke-Gilman Trail,15,15,2
9/25/2020 8:00,Burke-Gilman Trail,26,26,2
9/25/2020 9:00,Burke-Gilman Trail,10,10,2
9/25/2020 10:00,Burke-Gilman Trail,15,15,2
9/25/2020 11:00,Burke-Gilman Trail,18,18,2
9/25/2020 12:00,Burke-Gilman Trail,41,41,2
9/25/2020 13:00,Burke-Gilman Trail,37,37,2
9/25/2020 14:00,Burke-Gilman Trail,48,48,2
9/25/2020 15:00,Burke-Gilman Trail,61,61,2
9/25/2020 16:00,Burke-Gilman Trail,112,112,2
9/25/2020 17:00,Burke-Gilman Trail,119,119,2
9/25/2020 18:00,Burke-Gilman Trail,85,85,2
9/25/2020 19:00,Burke-Gilman Trail,22,22,2
9/25/2020 20:00,Burke-Gilman Trail,13,13,2
9/25/2020 21:00,Burke-Gilman Trail,4,4,2
9/25/2020 22:00,Burke-Gilman Trail,4,4,2
9/25/2020 23:00,Burke-Gilman Trail,6,6,2
9/26/2020 0:00,Burke-Gilman Trail,0,0,2
9/26/2020 1:00,Burke-Gilman Trail,0,0,2
9/26/2020 2:00,Burke-Gilman Trail,0,0,2
9/26/2020 3:00,Burke-Gilman Trail,0,0,2
9/26/2020 4:00,Burke-Gilman Trail,2,2,2
9/26/2020 5:00,Burke-Gilman Trail,3,3,2
9/26/2020 6:00,Burke-Gilman Trail,11,11,2
9/26/2020 7:00,Burke-Gilman Trail,36,36,2
9/26/2020 8:00,Burke-Gilman Trail,127,127,2
9/26/2020 9:00,Burke-Gilman Trail,134,134,2
9/26/2020 10:00,Burke-Gilman Trail,269,269,2
9/26/2020 11:00,Burke-Gilman Trail,201,201,2
9/26/2020 12:00,Burke-Gilman Trail,187,187,2
9/26/2020 13:00,Burke-Gilman Trail,193,193,2
9/26/2020 14:00,Burke-Gilman Trail,210,210,2
9/26/2020 15:00,Burke-Gilman Trail,145,145,2
9/26/2020 16:00,Burke-Gilman Trail,138,138,2
9/26/2020 17:00,Burke-Gilman Trail,130,130,2
9/26/2020 18:00,Burke-Gilman Trail,88,88,2
9/26/2020 19:00,Burke-Gilman Trail,34,34,2
9/26/2020 20:00,Burke-Gilman Trail,23,23,2
9/26/2020 21:00,Burke-Gilman Trail,4,4,2
9/26/2020 22:00,Burke-Gilman Trail,7,7,2
9/26/2020 23:00,Burke-Gilman Trail,1,1,2
9/27/2020 0:00,Burke-Gilman Trail,0,0,2
9/27/2020 1:00,Burke-Gilman Trail,0,0,2
9/27/2020 2:00,Burke-Gilman Trail,1,1,2
9/27/2020 3:00,Burke-Gilman Trail,0,0,2
9/27/2020 4:00,Burke-Gilman Trail,0,0,2
9/27/2020 5:00,Burke-Gilman Trail,3,3,2
9/27/2020 6:00,Burke-Gilman Trail,11,11,2
9/27/2020 7:00,Burke-Gilman Trail,61,61,2
9/27/2020 8:00,Burke-Gilman Trail,96,96,2
9/27/2020 9:00,Burke-Gilman Trail,204,204,2
9/27/2020 10:00,Burke-Gilman Trail,301,301,2
9/27/2020 11:00,Burke-Gilman Trail,315,315,2
9/27/2020 12:00,Burke-Gilman Trail,336,336,2
9/27/2020 13:00,Burke-Gilman Trail,365,365,2
9/27/2020 14:00,Burke-Gilman Trail,298,298,2
9/27/2020 15:00,Burke-Gilman Trail,321,321,2
9/27/2020 16:00,Burke-Gilman Trail,315,315,2
9/27/2020 17:00,Burke-Gilman Trail,210,210,2
9/27/2020 18:00,Burke-Gilman Trail,160,160,2
9/27/2020 19:00,Burke-Gilman Trail,46,46,2
